ID,Path,Element,Parent Path,Level,Root Element,Declared In,Declaration,Data Type,Type Source,Content,Min Occurs,Max Occurs,Required,Repeatable,Enumeration Count,Enumerated Values,Definition
11,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/ChronoStratigraphicDivision,ChronoStratigraphicDivision,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"Classification level for the term e.g. eon, system, stage etc."
12,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/ChronostratigraphicName,ChronostratigraphicName,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"The formal geo/chrono chronologic name e.g. Jurassic, Kimmeridgian etc."
13,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/DatingQualifier,DatingQualifier,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
14,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Certainty,Certainty,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
15,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/RangePosition,RangePosition,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,local,xs:string (restricted),EFG inline simpleType,simple,0,1,N,N,0,,"text field to mark if this date is the earlest in a possible range, midway or the latest. May need to be used if there is a possibility of a range of dates."
16,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,Identifiers,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
17,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers/Person,Person,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
18,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers/Organisation,Organisation,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
19,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,EarthScienceSpecimen,ChronostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
20,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts/StratigraphicMeasurementOrFact,StratigraphicMeasurementOrFact,EarthScienceSpecimen/UnitStratigraphicDetermination/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts,5,EarthScienceSpecimen,ChronostratigraphicAttributionsType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for single instance of complex type MeasurementOrFact
