ID,Path,Element,Parent Path,Level,Root Element,Declared In,Declaration,Data Type,Type Source,Content,Min Occurs,Max Occurs,Required,Repeatable,Enumeration Count,Enumerated Values,Definition
120,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult/AppliesTo,AppliesTo,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult,7,RockUnit,AnalysisAtomisedType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Used to qualify the measurement parameter
121,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult/UnitOfMeasurement,UnitOfMeasurement,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult,7,RockUnit,AnalysisAtomisedType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,The scale used for measurements in the analysis e.g. % for amounts or RI for refractive index.
122,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult/LowerValue,LowerValue,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult,7,RockUnit,AnalysisAtomisedType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,Lower value of a range or single value. This can be expressed as a measured value e.g. 45% or as a chemical formula e.g. NaCl
123,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult/UpperValue,UpperValue,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult,7,RockUnit,AnalysisAtomisedType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Higher value or upper limit of range of values
124,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult/Accuracy,Accuracy,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult,7,RockUnit,AnalysisAtomisedType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,experimental degree of eror e.g. +/- 5%
125,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult/AnalysisResultComment,AnalysisResultComment,RockUnit/Petrology/Petrologicalanalyses/PetrologicalAnalysis/PetrologicalAnalysisAtomised/AnalysisResults/AnalysisResult,7,RockUnit,AnalysisAtomisedType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text comment relating to the analysis results
126,RockUnit/Petrology/AssociatedMineralAssemblage,AssociatedMineralAssemblage,RockUnit/Petrology,2,RockUnit,RockUnitType,local,efg:AssociatedMineralAssemblageType,EFG named complexType,complex,0,1,N,N,0,,
127,RockUnit/Petrology/AssociatedMineralAssemblage/AssociatedMineralList,AssociatedMineralList,RockUnit/Petrology/AssociatedMineralAssemblage,3,RockUnit,AssociatedMineralAssemblageType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,
128,RockUnit/Petrology/AssociatedMineralAssemblage/AssociatedMineralList/AssociatedMineralName,AssociatedMineralName,RockUnit/Petrology/AssociatedMineralAssemblage/AssociatedMineralList,4,RockUnit,AssociatedMineralAssemblageType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"A single mineral name at any level of accuracy e.g. feldspar, pyroxene etc. or orthoclase, olivine, horneblende etc."
129,RockUnit/Petrology/AssociatedMineralAssemblage/AssociatedMineralList/AssociatedMineralComment,AssociatedMineralComment,RockUnit/Petrology/AssociatedMineralAssemblage/AssociatedMineralList,4,RockUnit,AssociatedMineralAssemblageType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text for describing the occurrence of this particular mineral or any of its features.
130,RockUnit/Petrology/AssociatedMineralAssemblage/AssociatedMineralAssemblageText,AssociatedMineralAssemblageText,RockUnit/Petrology/AssociatedMineralAssemblage,3,RockUnit,AssociatedMineralAssemblageType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text for describing the features or characteristics of the overall mineral assemblage e.g.typical North Yorkshire primary copper-rich sulphide assemblage with complex secondary alteration products
131,RockUnit/AssociatedFossilAssemblage,AssociatedFossilAssemblage,RockUnit,1,RockUnit,RockUnitType,local,efg:AssociatedFossilAssemblageType,EFG named complexType,complex,0,1,N,N,0,,Container element for describing fossil assemblage associated with the rock or mineral unit
132,RockUnit/AssociatedFossilAssemblage/AssociatedFossilList,AssociatedFossilList,RockUnit/AssociatedFossilAssemblage,2,RockUnit,AssociatedFossilAssemblageType,local,(anonymous complexType),EFG inline,complex,0,unbounded,N,Y,0,,Container for one or more fossil taxa (including ichnotaxa) that constitute the fossil assemblage associated with the unit being described. Note that highly detailed information on identification or description of the taxa in the assemblage should be treated as separate but related units.
133,RockUnit/AssociatedFossilAssemblage/AssociatedFossilList/AssociatedFossilName,AssociatedFossilName,RockUnit/AssociatedFossilAssemblage/AssociatedFossilList,3,RockUnit,AssociatedFossilAssemblageType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,A single taxon name at any level e.g. trilobite or Dalmanites myops
134,RockUnit/AssociatedFossilAssemblage/AssociatedFossilList/AssociatedFossilComment,AssociatedFossilComment,RockUnit/AssociatedFossilAssemblage/AssociatedFossilList,3,RockUnit,AssociatedFossilAssemblageType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text for describing occurrence of this particular taxon or any of its features.
135,RockUnit/AssociatedFossilAssemblage/AssociatedFossilAssemblageText,AssociatedFossilAssemblageText,RockUnit/AssociatedFossilAssemblage,2,RockUnit,AssociatedFossilAssemblageType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text for describing the occurrence, form or other features associated with this fossil assemblage e.g. fore-reef community, condensed reworked assemblage, serpulid bioherm with high concentration of gastropods etc."
136,RockUnit/DepositionalEnvironment,DepositionalEnvironment,RockUnit,1,RockUnit,RockUnitType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container for describing the original environment in which thr rock was deposited or the mineral formed e.g. hypersaline lagoon, lacustrine, intertidal etc."
137,RockUnit/DepositionalEnvironment/DepositionalEnvironmentText,DepositionalEnvironmentText,RockUnit/DepositionalEnvironment,2,RockUnit,RockUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"free text describing the original environment in which thr rock was deposited or the mineral formed e.g. hypersaline lagoon, lacustrine, intertidal etc."
138,RockUnit/DepositionalEnvironment/DepositionalEnvironmentType,DepositionalEnvironmentType,RockUnit/DepositionalEnvironment,2,RockUnit,RockUnitType,local,xs:string (restricted),EFG inline simpleType,simple,1,unbounded,Y,Y,57,alluvial fan | basinal carbonate | basinal siliceous | carbonate | cave | channel | channel lag | coarse channel fill | coastal | crater lake | crevasse splay | deep subtidal | deep subtidal ramp | deep subtidal shelf | deltaic | delta front | delta plain | dry floodplain | dune | estuarine | eolian | fissure fill | floodplain | fluvial | fluvial-deltaic | fluvial-lacustrine | foreshore | glacial | interdistributary bay | interdune | karst | lacustrine | lagoonal | levee | loess | marginal marine | marine | offshore | offshore ramp | offshore shelf | open shallow subtidal | paralic | peritidal | pond | prodelta | reef or bioherm | shallow subtidal | shoreface | shore transition zone | sinkhole | slope | swamp | restricted shallow subtidal | sand shoal | tar | terrestrial | wet floodplain,keywords from enumerated list for indexing of depositional environments
139,PalaeontologicalUnit,PalaeontologicalUnit,,0,PalaeontologicalUnit,(schema),global,efg:PalaeontologicalUnitType,EFG named complexType,complex,1,1,Y,N,0,,
140,PalaeontologicalUnit/PartOfOrganism,PartOfOrganism,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description relating to the part or parts of the organism that have been preserved e.g. shell, skeleton, skull, soft tissue etc."
141,PalaeontologicalUnit/Completeness,Completeness,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text descrbing the degree of completeness of the specimen e.g. complete, cephalon only, but may describe completeness of a part e.g. complete skull"
142,PalaeontologicalUnit/Articulation,Articulation,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description of the articulation in the preserved specimen - applies to invertebrate shells and exoskeletons as well as vertebrate skeletons. e.g. articulated, dis-articulated, single valves etc."
143,PalaeontologicalUnit/FeedingPredationTraces,FeedingPredationTraces,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description relating to aspects of feeding and predation e.g. ammonite with bite mark from plesiosaur, shell drilled by predatory gastropod etc."
144,PalaeontologicalUnit/Bioerosion,Bioerosion,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description of damage due to biological action, such as, boring worms and sponges."
145,PalaeontologicalUnit/Encrustation,Encrustation,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description of biological encrustations, such as oysters and tube worms."
146,PalaeontologicalUnit/Orientation,Orientation,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description of the orientation of the fossil remains in the host rock e.g. unknown, life position, toppled etc."
147,PalaeontologicalUnit/AssemblageOrigin,AssemblageOrigin,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description relating to the mode of origin of the assemblage e.g. unknown, allocthonous, autocthonous, paraautocthonous etc."
148,PalaeontologicalUnit/PostBurialTransportation,PostBurialTransportation,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text relating to any post burial transport of fossil material e.g. river transport, scree slope etc."
149,PalaeontologicalUnit/PreservationQuality,PreservationQuality,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text describing the preservation quality e.g. poor, medium, good, excellent. Includes preservation of anatomical detail and softparts."
150,PalaeontologicalUnit/PreservationMode,PreservationMode,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,Container for preservation mode description and keywords
151,PalaeontologicalUnit/PreservationMode/PreservationModeText,PreservationModeText,PalaeontologicalUnit/PreservationMode,2,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text for describing the mode of preservation e.g. is the specimen a cast or mold,are soft parts preserved or mineralised etc."
152,PalaeontologicalUnit/PreservationMode/PreservationModeKeywords,PreservationModeKeywords,PalaeontologicalUnit/PreservationMode,2,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string (restricted),EFG inline simpleType,simple,0,unbounded,N,Y,12,adpression/compression | body | cast | charcoalification | coalified | concretion | dissolution traces | mold/impression | permineralised | recrystallised | soft parts | trace,"keywords for how fossil material has been preserved e.g. body, cast, mold, trace fossil, soft parts mineralised etc."
153,PalaeontologicalUnit/PreservationMode/PreservationSpecialMode,PreservationSpecialMode,PalaeontologicalUnit/PreservationMode,2,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string (restricted),EFG inline simpleType,simple,0,1,N,N,11,amber | anthropogenic | bone collector | concretion | coprolite | frozen soil | hypersaline | midden | peat | tar pit | other,"Keyword for any special mode of preservation e.g. preserved in amber or frozen in tundra, tar pit etc."
154,PalaeontologicalUnit/PreservationAlteration,PreservationAlteration,PalaeontologicalUnit,1,PalaeontologicalUnit,PalaeontologicalUnitType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,Container for description of preservation and alsteration of specimen
155,PalaeontologicalUnit/PreservationAlteration/PreservationAlterationText,PreservationAlterationText,PalaeontologicalUnit/PreservationAlteration,2,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text relating to mineralogical changes in preserved specimens e.g. original shell material preserved, replacement minerals, re-crystallisation, silicification etc."
156,PalaeontologicalUnit/PreservationAlteration/OriginalBiominerals,OriginalBiominerals,PalaeontologicalUnit/PreservationAlteration,2,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string (restricted),EFG inline simpleType,simple,0,unbounded,N,Y,8,aragonite | carbon | calcite | cellulose | chitin | phosphate | silica | sporopollenin,List of original organcis or biomaterial preserved in the specimen
157,PalaeontologicalUnit/PreservationAlteration/ReplacementMinerals,ReplacementMinerals,PalaeontologicalUnit/PreservationAlteration,2,PalaeontologicalUnit,PalaeontologicalUnitType,local,xs:string (restricted),EFG inline simpleType,simple,0,unbounded,N,Y,11,calcite | carbon | dolomite | haematite | limonite | opal | phosphate | pyrite | siderite | silica | unknown,List of replacement minerals in the specimen e.g. silica
158,MineralogicalUnit,MineralogicalUnit,,0,MineralogicalUnit,(schema),global,efg:MineralogicalUnitType,EFG named complexType,complex,1,1,Y,N,0,,
159,MineralogicalUnit/MineralHabit,MineralHabit,MineralogicalUnit,1,MineralogicalUnit,MineralogicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description of the mineral habit. Minerals occur in a variety of forms, which mayor may not be directly dependent on their crystalline structure e.g. nodular, columnar, radiating, mamillated, botryoidal, granular etc."
160,MineralogicalUnit/MineralColour,MineralColour,MineralogicalUnit,1,MineralogicalUnit,MineralogicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Description of coloration of the mineral
161,MineralogicalUnit/CrystalForm,CrystalForm,MineralogicalUnit,1,MineralogicalUnit,MineralogicalUnitType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,Container element for describing the crystal form of a mineral unit.
162,MineralogicalUnit/CrystalForm/Twinning,Twinning,MineralogicalUnit/CrystalForm,2,MineralogicalUnit,MineralogicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text to describe any twinning features dispalyed by a mineral unit. Types include interpenetrant, rotation and geniculate."
163,MineralogicalUnit/CrystalForm/Pseudomorph,Pseudomorph,MineralogicalUnit/CrystalForm,2,MineralogicalUnit,MineralogicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text to describe any pseudomorph features associated with a mineral or rock unit. Types include substitution, encrustation and infill"
164,MineralogicalUnit/CrystalForm/CrystalMeasurements,CrystalMeasurements,MineralogicalUnit/CrystalForm,2,MineralogicalUnit,MineralogicalUnitType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,container for measurements of crystal physical and chemical characteristics
165,MineralogicalUnit/CrystalForm/CrystalMeasurements/CrystalMeasurement,CrystalMeasurement,MineralogicalUnit/CrystalForm/CrystalMeasurements,3,MineralogicalUnit,MineralogicalUnitType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Individual measurement or fact related to a crystal unit - container for standard MeasurementOrFact complex type from main schema
166,MineralogicalUnit/CrystalForm/CrystalFormText,CrystalFormText,MineralogicalUnit/CrystalForm,2,MineralogicalUnit,MineralogicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text description of crystal form
167,MineralogicalUnit/MineralMeasurementsOrFacts,MineralMeasurementsOrFacts,MineralogicalUnit,1,MineralogicalUnit,MineralogicalUnitType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container for measurements or facts related to physical properties of mineral e.g. streak, cleavage, specific gravity etc."
168,MineralogicalUnit/MineralMeasurementsOrFacts/MineralMeasurementOrFact,MineralMeasurementOrFact,MineralogicalUnit/MineralMeasurementsOrFacts,2,MineralogicalUnit,MineralogicalUnitType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for a single physical measurement or fact related to mineral
169,MineralogicalUnit/MineralDescriptionText,MineralDescriptionText,MineralogicalUnit,1,MineralogicalUnit,MineralogicalUnitType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text description of mineral unit which may include observations on its form and occurrence, origin or other associated facts"
170,AllocthonousMaterial,AllocthonousMaterial,,0,AllocthonousMaterial,(schema),global,efg:AllocthonousMaterialType,EFG named complexType,complex,1,1,Y,N,0,,
171,AllocthonousMaterial/PlaceOfOrigin,PlaceOfOrigin,AllocthonousMaterial,1,AllocthonousMaterial,AllocthonousMaterialType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The place of origin for material that has been transported during its history e.g. glacial erratics and meteorites
172,AllocthonousMaterial/ModeOfTransport,ModeOfTransport,AllocthonousMaterial,1,AllocthonousMaterial,AllocthonousMaterialType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"How the material was transported e.g. glacier, turbidity current, meteorite etc."
173,AllocthonousMaterial/OriginalStratigraphy,OriginalStratigraphy,AllocthonousMaterial,1,AllocthonousMaterial,AllocthonousMaterialType,local,(anonymous complexType),EFG inline,complex,0,1,N,N,0,,The original stratigraphic associations of allocthonous material e.g. a Devonian erratic obtained from a Pleistocene tillite.
174,AllocthonousMaterial/OriginalStratigraphy/StratigraphicComment,StratigraphicComment,AllocthonousMaterial/OriginalStratigraphy,2,AllocthonousMaterial,AllocthonousMaterialType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text comments relating to the straigraphy
175,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions,StratigraphicAttributions,AllocthonousMaterial/OriginalStratigraphy,2,AllocthonousMaterial,AllocthonousMaterialType,local,efg:StratigraphicAttributionsType,EFG named complexType,complex,1,1,Y,N,0,,
176,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions,ChronostratigraphicAttributions,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions,3,AllocthonousMaterial,StratigraphicAttributionsType,local,efg:ChronostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,Allows for multiple and range declarations of chronostratigraphic terms. This element combines both chronostratigraphic and geochronologic terms with preference for chronostratigraphic. (Zalasiewicz et al. 2004)
177,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,ChronostratigraphicAttribution,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions,4,AllocthonousMaterial,ChronostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,A single declaration of an identifed chronostratigraphic date
178,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/ChronoStratigraphicDivision,ChronoStratigraphicDivision,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"Classification level for the term e.g. eon, system, stage etc."
179,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/ChronostratigraphicName,ChronostratigraphicName,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"The formal geo/chrono chronologic name e.g. Jurassic, Kimmeridgian etc."
180,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/DatingQualifier,DatingQualifier,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
181,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Certainty,Certainty,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
182,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/RangePosition,RangePosition,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,local,xs:string (restricted),EFG inline simpleType,simple,0,1,N,N,0,,"text field to mark if this date is the earlest in a possible range, midway or the latest. May need to be used if there is a possibility of a range of dates."
183,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,Identifiers,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
184,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers/Person,Person,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,6,AllocthonousMaterial,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
185,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers/Organisation,Organisation,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,6,AllocthonousMaterial,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
186,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,5,AllocthonousMaterial,ChronostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
187,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts/StratigraphicMeasurementOrFact,StratigraphicMeasurementOrFact,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts,6,AllocthonousMaterial,ChronostratigraphicAttributionsType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for single instance of complex type MeasurementOrFact
188,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions,LithostratigraphicAttributions,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions,3,AllocthonousMaterial,StratigraphicAttributionsType,local,efg:LithostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,"Allows for multiple identifications of any named lithostratigraphic units (e.g. Penarth Group, Langport Member, Rhaetic Bone Bed)"
189,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,LithostratigraphicAttribution,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions,4,AllocthonousMaterial,LithostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,An individual identification of a named lithostratigraphic unit e.g. The Hotwells Limestone Group. The higher lithostratigraphic terms are also allowed to cover the possibility of rock name homonyms and indexing in the absence of a complete dictionary of rock names.
190,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Supergroup,Supergroup,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,5,AllocthonousMaterial,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Highest level of lithostratigraphic classification
191,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Group,Group,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,5,AllocthonousMaterial,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Lithostratigraphic unit consisting of two or more formations
192,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Formation,Formation,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,5,AllocthonousMaterial,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The primary lithostratigraphic unit characterised by its lithologic features although it may be diachronous.
193,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Member,Member,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,5,AllocthonousMaterial,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,A sub-division of a formation which may be local in extent or exhibits a distinctive lithology
194,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Bed,Bed,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,5,AllocthonousMaterial,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The smallest division of a named stratified series normally with well defined division from adjacent deposits.
195,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/InformalLithostratigraphicName,InformalLithostratigraphicName,AllocthonousMaterial/OriginalStratigraphy/StratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,5,AllocthonousMaterial,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,An informal lithostratigraphic name (ie. one not yet characterised as a formation or member or an old name still in general use e.g. Schaumkalk as part of the Muschelkalk or Keuper Marl as a synonym of the Mercia Mudstone Group. includes language as an attribute.
