table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
material,derivationEventID,fk,Derivation Event ID,An identifier for a dwc:Event during which a dwc:MaterialEntity was derived from another dwc:MaterialEntity.,Recommended best practice is to use a globally unique identifier.,,string,default,FALSE,FALSE,,,dwc,http://rs.tdwg.org/dwc/terms/eventID,http://rs.tdwg.org/dwc/terms/version/eventID-2023-06-28,An identifier for the set of information associated with a dwc:Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,recommended,FALSE,TRUE
material,derivationType,,Derivation Type,A category that best matches the nature of the derivation of one dwc:MaterialEntity from another dwc:MaterialEntity.,Recommended best practice is to use a controlled vocabulary. Not expected to be used in Simple Darwin Core,`sampledFrom`; `included`,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material,isPartOfMaterialEntityID,fk,Is Part Of Material Entity ID,An identifier for a dwc:MaterialEntity of which this dwc:MaterialEntity is a part.,This dwc:MaterialEntity was not taken from a dwc:MaterialEntity of which it is a part. Recommended best practice is to use a globally unique identifier.,,string,default,FALSE,FALSE,,,dwc,http://rs.tdwg.org/dwc/terms/materialEntityID,http://rs.tdwg.org/dwc/terms/version/materialEntityID-2023-09-13,An identifier for a particular instance of a dwc:MaterialEntity.,recommended,FALSE,TRUE
material,verbatimIdentification,,Verbatim Identification,A string representing a taxonomic identification as it appeared in the original record.,,"`Peromyscus sp.`; `Ministrymon sp. nov. 1`; `Anser anser × Branta canadensis`; `Pachyporidae?`, `Potentilla × pantotricha Soják`; `Aconitum pilipes × A. variegatum; `Lepomis auritus x cyanellus`",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/verbatimIdentification,http://rs.tdwg.org/dwc/terms/version/verbatimIdentification-2023-06-28,A string representing the taxonomic identification as it appeared in the original record.,recommended,FALSE,TRUE
material,typeStatus,,Type Status,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the resource.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`holotype`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/typeStatus,http://rs.tdwg.org/dwc/terms/version/typeStatus-2023-06-28,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.",recommended,FALSE,TRUE
material,typeDesignationType,,typeDesignationType,A category that best matches the nature of a type designation.,From https://rs.gbif.org/extension/gbif/1.0/typesandspecimen.xml.,,string,default,,,,,gbif,http://rs.gbif.org/terms/1.0/typeDesignationType,https://rs.gbif.org/extension/gbif/1.0/typesandspecimen.xml,The reason why this specimen or name is designated as a type.,recommended,FALSE,TRUE
material,typifiedName,,Typified Name,A scientific name for which a specimen or other name is the type.,Recommended best practice is also to indicate the dwc:typeStatus of the specimen.,`Polysiphonia amphibolis Womersley`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/version/typifiedName,http://rs.tdwg.org/dwc/terms/version/typifiedName-2025-06-12,A scientific name that is based on a type specimen.,recommended,FALSE,FALSE
material,identifiedBy,,Identified By,A list (concatenated and separated) of names of dcterms:Agents responsible for making a taxonomic determination of a dwc:Organism.,"When used in the context of a dwc:Survey, the subject consists of all of the dwc:Identifications related to the dwc:Survey. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`James L. Patton`; `Theodore Pappenfuss | Robert Macey`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identifiedBy,http://rs.tdwg.org/dwc/terms/version/identifiedBy-2023-06-28,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the dwc:Taxon to the subject.",recommended,FALSE,TRUE
material,identifiedByID,fk,Identified By ID,An identifier for a dcterms:Agent responsible for making a taxonomic determination of a dwc:Organism.,,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),string,default,FALSE,FALSE,,,dwciri,http://rs.tdwg.org/dwc/iri/identifiedBy,http://rs.tdwg.org/dwc/iri/version/identifiedBy-2025-06-12,"A person, group, or organization who assigned the dwc:Taxon to the subject.",recommended,FALSE,TRUE
material,dateIdentified,,Date Identified,A date on which the subject was determined as representing a dwc:Taxon.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/dateIdentified,http://rs.tdwg.org/dwc/terms/version/dateIdentified-2025-06-12,The date on which the subject was determined as representing the dwc:Taxon.,recommended,FALSE,TRUE
